Tweet,Target 1,Stance 1,seen?
"Democracy destroys itself because it abuses its right to freedom and equality. Because it teaches its citizens to consider audacity as a right, lawlessness as a freedom, abrasive speech as equality and anarchy as progress. -Isocrates I believe in the first amendment but this man is intentionally trying to cause pain to others by disrespecting their beliefs. People will obviously be upset by this. I am upset by it and I am not a Muslim. So NO your 1st amendment rights are not violated when you are told to shut up because you are going to cause a panicked mob during a fire drill. You DON""T get to claim American rights of protection when you violate the tenets of equality and freedom in your speech.",democracy,NONE,1
"Dimissing this information simply because she does not have any initials after her name, is simply a excuse for intellectual laziness. It's clearly a defense mechanism for avoiding the facts. If she was espousing vegan ideals, you wouldn't even think about her credentials or lack thereof. Veganism is more akin to a religious movement, that a simple lifestyle choice. And just like any religion, people do not like having their beliefs questioned, even when their beliefs are clearly based on myth and legend. Everything she has stated here can be verified from scientific sources. It's not opinion but fact. But here is an opinion. Feeding children a vegan diet is child abuse. Pure and simple. Same as if parents feed their babies a diet of coke and chips",veganism,AGAINST,1
"Discipline is the first thing that any school worth its salt needs to teach. It is most important to teach respect for others, particularly fellow students who are there to learn not to be disrupted and distracted by this sort of thing. Freedom has become a useless trope in our society because we attach no responsibility to it. Long ago when I was attending an excellent public school we students would not have tolerated a person like the one you describe and let me say we were a remarkably tolerant class.",discipline,FAVOR,1
"Do laws of prescriptive easement not apply to the road this fellow closed off? It is my understanding that if a precedent has been set by allowing people to use such a route for a certain number of years then it is nearly impossible to close such down, even if you have recently purchased it. The previous owner by allowing such access has established a route for people to get to the beach which is owned by all of us.",prescriptive easement,NONE,1
"Do seniors who have already paid to send their children to school also deserve a tax break? Homeschooling children is a choice , sending children to private school is a choice. - why should these parents get a tax break? Why don't they just use the money to fund schools so that the highest quallity teachers would want to teach in them?",tax break,NONE,1
"Does any world leader or any rational person still believe that the Natanyahu government wants peace. More like they want PIECE: more land and more settlements. Unfortunately and sadly, the only thing that may lead to serious negotiations and some sort of peace agreement is economic and political pressure on Israel by western governments.",natanyahu government,NONE,1
"Drones are a weapon of the weak willed. Relying on them gives those unfamiliar with successful counter-insurgency tactics and strategies a sense of security when in fact the opposite is happening. If you do not 'drain the swamp' or wipe out the entire support systems that enable the insurgent/terrorist to survive, they multiply like vermin. Therefore we see the spread of the scourge throughout Africa and the Middle East. Also, the mood of these countries, especially Egypt, is increasingly anti-American. Had we wiped out the terrorists with our ground troops in and around Afghanistan (including the uncontrolled areas in Pakistan), with the correct number of troops needed, we would not be facing this problem today of increasing terrorism in Afghanistan and our troops under attack from the very Afghan military and police. Our policy is corrupt, ineffective and weak -- and it is the policy of the present Administration -- dragging our nation ever more into an abyss.",drone,AGAINST,1
"Du Pont's statements are pure poppycock. If there is a causation correlation, it is in the fact that people have to buy marijuana from a dealer--who also sells other drugs. Other than genetic disposition, that is the only correlation. How did this guy get on a New York Times panel?",marijuana,AGAINST,1
Employees should be free to move or sell their talents to the highest bidder. A time restricted none compete that's enforced through compensation by the former employer who wishes to restrict the employee seems like reasonable protection for both sides. The employee can't work for a year or two in their most lucrative field but the employer who wishes to restrict them pays them a portion of their lost wages for the period of enforcement. A free market for goods and services includes labor. A none compete does more than protect intellectual property it suppresses wages and creates a sense that the employee is property of the employer if they wish to stay in the field were they have the most experience and potential value.,employer,NONE,1
"Eran Lerman and his paranoia could be speaking about the Israel of today. The Israel that has funded and nurtured it own form of extremism, it's paranoia about dissent from within. Israel is well aware that Iran has no appetite for war nor the money to take on the world's 4th largest army. Mr. Lerman ponders about the true leadership in Iran while I ponder about the government funded Lehava, the extremists who desecrates churches, mosques and those Israelis who disagree with the new norm, the Kehanist mindset.",israel,AGAINST,1
"Even though I have to respect the reasoning to veganism, I do believe that there are definite risks involved. A diet based on plants does not provide a sufficient source of energy to the body. Without a source of protein or carbohydrate, the body tends to slow down and function slower. Facts are facts. All of them in the article stand firm. Babies need a variety of foods especially because it is critical in their development. As an adult you can make this decision for yourself, but think of your child who needs all the foods from the pyramid to grow and be the healthy individual you want them to be.",veganism,AGAINST,1
"Even with evidence of poison gas having been used, how do we know which side was responsible? And, yes President Bashar al-Assad is bad -- but we have no reason to know (if we aid his opponents) who they are and what they will do. They could be worse. So, without more information... DO NOTHING.",poison gas,NONE,1
"Every thing found in nature got to be by some kind of mutation and even engineered genes are now found in nature. The difference would not be detectable unless one has prior knowledge of some kind. So engineering is a cause of mutation as well as human intervention. The purpose of patents is to provide a monopoly in the market for the innovators in order to encourage innovations. But extended monopolies tend to discourage further innovations, so the length of patents must be limited. The patenting of naturally occurring gene sequences has resulted in the legal requirement of anyone treating conditions related to those sequences patented be approved by and compensation provided to the patent holders. It's a perverse use of patents that actually inhibits innovations and blocks medical care for seriously ill patients. It's morally and ethically degenerate and it violates the principle that knowledge about nature is not subject to patents or copyrights. The subject of engineered genes should probably handled like horticultural products.",gene,AGAINST,1
"Every thing found in nature got to be by some kind of mutation and even engineered genes are now found in nature. The difference would not be detectable unless one has prior knowledge of some kind. So engineering is a cause of mutation as well as human intervention. The purpose of patents is to provide a monopoly in the market for the innovators in order to encourage innovations. But extended monopolies tend to discourage further innovations, so the length of patents must be limited. The patenting of naturally occurring gene sequences has resulted in the legal requirement of anyone treating conditions related to those sequences patented be approved by and compensation provided to the patent holders. It's a perverse use of patents that actually inhibits innovations and blocks medical care for seriously ill patients. It's morally and ethically degenerate and it violates the principle that knowledge about nature is not subject to patents or copyrights. The subject of engineered genes should probably handled like horticultural products.",mutation,NONE,1
"Exxon provides a public good, too. Our economy would stop without gasoline and other petroleum products. What people object to about huge college endowments is the sense they are more about hoarding and bragging rights than providing scholarships. Harvard is holding $30 billion. That money could provide an education to tens of thousands of students at many universities, but instead serves as a line item in the US News ranking of colleges suggesting that Harvard provides a superior education because they have this hoard. States should require these institutions to spend more of their endowments on services or, if they can't, share the money with other colleges or the state.",exxon,NONE,1
"Facebook and Google and Match.com, etc -- social medial in general have put a stake in the heart of any semblance of romantic love. What used to be the private connection between 2 individuals has become a public performance where anyone is invited to weigh in. The magic surprise element is gone because we now demand umpteen photos before a date is considered... yet the art of dating, too, seems passe.. Alas!",social medium,AGAINST,1
"Farm subsidies, along with many others, should have been cut off years ago. Farming is now a big business with many farms being large scale industrial enterprises and many farmers are now millionaires. Better to impose tariffs on foreign imports than continue to feed hogs with out tax dollars. As Harry Truman said, "" If you cant stand the heat get out of the kitchen.""",farm,NONE,1
"Finally, someone who wants to succeed within the context of our laws. We also need to look at perverse incentives, like unemployment benefits not tied to taking farming jobs. Keep up the good work, Mr. Shute. Hopefully, you will have less competition when your competitors who use illegal labor are put in jail.",unemployment benefit,NONE,1
"Finding all the earth's hydrocarbons and burning them as fast as possible is not long range planning. Free energy collection technologies (solar, wind, tidal, hydro) are practical alternatives to the depletion of hydrocarbon resources. Leave them in place. Future generations will appreciate that they have something left to use for organic chemistry that we can't imagine yet.",hydrocarbon,NONE,1
"Fine. Whatever. If I'm an employer, I now must guess based on appearance, attitude, etc. if an applicant has a criminal record. And I am going to err on the side of caution, meaning I will eliminate many candidates who do not have a criminal record. Liberals never think through their well-intentioned social engineering efforts, forgetting that those burdened by their efforts will simply find a way around them.",criminal record,AGAINST,1
"First of all, the Palestinians live under occupation because Jordan, the original occupier left the territory to Israel after the 1967 war. What about the 20 years of Jordanian occupation from 1947-1967? Israel took over the care of the refugees of the 1948 War of Independence from Jordan. Remember this, Jordan, Egypt, Syria and Lebanon attacked Israel in 1948. Their collective goal was to wipe out the nascent Jewish State and murder all the Jews living there. But, they lost and Israel grew by a few kilometers. Jordan ended up on the West bank, occupying East Jerusalem, while Egypt occupied the Gaza Strip. For 20 years, the Jordanian and Egyptian occupiers held the West Bank and Gaza refugees in camps, in poverty and riled up. It is the mindset of these Arab leaders who do not want to have a Jewish State side by side with Arab Muslims who have caused the misery of the Arab refugees for the past 66 years.",mideast peace,NONE,1
"First these students in low income poverty neighborhoods destroyed their public schools because of violence and refusing to learn and disruptive behavior. They thought that Charter Schools were the solution and like taking residents from these neighborhoods and relocating them at taxpayer expense to better neighborhoods (mostly white) they would change their behavior. It didn't work and it couldn't work and it will never work. Look at St. Louis, MO and their experiment with their dilapidated, violent housing projects when the Clinton administration gave them housing vouchers to move to white neighborhoods like Ferguson and see what happened. Good for the Charter Schools for expelling these trouble makers unless we're prepared to threaten the parent with loss of Food Stamps, Title 8 Housing, Medicaid and other entitlements nothing is going to ever change. 'It's not the schools. It's not the teachers. It's the parent whose responsible because they never had to be responsible before in their life. Everyone is afraid or too embarrassed to say the truth.",charter school,AGAINST,1
"First, Marco seems quite bitter at the country that took him him, provided him scholarships, helped him succeed. I would be kissing the ground in thanks that I escaped to a decent place. This is often a common reaction from people who rely on the largesse of others. The Pew Hispanic Research poll a few years ago asked Mexicans if they would immigrate if they could. Fifty percent said they would. That would be sixty million people. That is just Mexico. The U.S., Canada, and Switzerland generally lead in the polls as to where people would live, if they could. Governments have the responsibility to protect their borders. Due to the desirability of the U.S., the U.S. government has a particular responsibility. From what I can tell, for the most part, people are welcoming of immigrants. They want a process where the appropriate background checks can be done, and the number can be controlled. People do not like it when others jump the line at the movie theatre or on the freeway. They do not like it in the immigration arena either.",marco,AGAINST,1
"From Wikipedia (perhaps not the most authoritative reference; but still a reflection on Dr. DuPont's credentials): ""He claims that marijuana is ""the most dangerous drug"",[11] a claim that is at odds with current scientific consensus.[12] He served as a paid consultant for Straight, Incorporated, a ""controversial non-profit drug rehabilitation program"" for youth that was the subject of numerous allegations of abuse and which was successfully sued for false imprisonment and maltreatment Considering his position as ""Drug Czar"" for Presidents Nixon and Ford, it is not difficult to infer where and when his biases may have originated. I agree with others who have posted and subscribe to the belief drug abuse is the product of an addictive personality which ""finds"" a medication that produces pleasure and/or relief to overwhelm any concerns of dependence.",marijuana,NONE,1
"From the 1948 UDHR (Universal Declaration on Human Rights) provision that ""No one shall be arbitrarily deprived of his nationality nor denied the right to change his nationality."" international law has grown to accept that forcing someone to give up another citizenship is incongruous with the UDHR. This did not happen overnight. It was not done in the heat of any political movement. It came about because jurists is many nations realised that it was arbitrary to deprive migrants of a second citizenship but not those who acquired it at birth. Discussion of dual nationality is a distraction. In the current situation, there are better laws available: Deny the new Singaporean a visa to the US. Require him to have a ""sailing permit"" if he does visit and wants to leave. Et cetera. Why does the GOP not discuss those directly applicable laws? And if the Beatles' US income was taxed, why won't the new Singaporeans?",dual citizenship,NONE,1
"Given that Europeans have not done so well integrating the Muslim immigrants they already have (witness the suspect in Belgium, where in immigrant community the employment rate is 40 percent), why should we believe this recent wave is any more assimilable? In twenty years, will Europe create even more alienated residents who are willing to slaughter their fellow citizens?",muslim immigrant,AGAINST,1
"Good idea. I have always had a cat or two. While being inhumane, declawing places a cat in danger. Should my charming indoor kitty somehow escape outside, he would have no way to defend himself. Why don't humans have their finger-and tonails removed to save on manicures? Answer: they are important to the functioning and protection of our bodies.",cat,AGAINST,1
"Google and Wikipedia may allow incompetent researchers to produce a flurry of activity and a work product that looks like a substitute for research. However, Google and Wikipedia are not the root cause of bad research or students who don't know how to research. A student who understands the fundamental principles of research will use various tools appropriately to reach project goals. One thing that strikes me: some people who object to the use of online tools seem to have a hazing agenda. In my opinion, if a student researches well without the long nights in the stacks, or uses intelligent online tools and techniques to narrow down the reading list, that is a good thing.",wikipedia,FAVOR,1
"HI speaking from being in the military, i feel that we should not work with Syria. I feel that we need to go into SYRIA with the same inteligence that we had to get Osama Bin Laden. I think that we should order up troops, and get together with our allies and send a message not only too ISIS, but to the whole world that you mess with the USA you going to get the BUSINESS",syria,FAVOR,1
"Have the Editors of the Times never seen Judgment at Nuremberg? There are times when everyone--even judges--must speak up or live with the consequences of their silence. The optics of the court must be weighed against the dystopia we risk and which the judges in the movie, and at the trials, allowed.",judge,AGAINST,1
"Having been in Japan and Europe, and New Zealand (where they earn a living wage and we don't have to tip), I LOVE IT! I am so tired of tipping. Give the serves a living wage so they don't have to count on the kindness of strangers. Yes, raise prices to accommodate a real wage--these people deserve it, just like anyone else who has a job. And eliminate the tips!",tip,AGAINST,1
"Having had my kids when I was 35 and 37 and having spent the day of my 50th birthday enduring the full on meltdown of a thirteen year old I came to the conclusion that women should have their only or last child when they are no older than 32. That way when you turn 50 your only or youngest child will be 18 and it can be a watershed moment for both of you. I said this to my dentist once as she was saying that she wasn't quite ready to have a baby yet, and I told her that in the early years it doesn't matter in terms of your energy for running around the playground if you are 35 or 40, it's later on when it matters and I felt like after the appt she ran out of the room to run home and get pregnant. But truly, even if you can get pregnant later and have healthy babies, it is brutal dealing with teens when you are going through your own changes.",motherhood,AGAINST,1
"Having lived in countries where tipping is not expected most of my adult life, my personal view is that the restaurant owners need to pay their staff a living wage (ok, so prices go up) and get the waiters off the backs of the customers. Better for us, and, yes, better for the waiters as well!",living wage,FAVOR,1
"Having lived in countries where tipping is not expected most of my adult life, my personal view is that the restaurant owners need to pay their staff a living wage (ok, so prices go up) and get the waiters off the backs of the customers. Better for us, and, yes, better for the waiters as well!",tip,AGAINST,1
"Having lived since 1980, I know that Iran will always be a threat to all peace-loving people. I stand ashamed of Those Who Mean So Well who have bought into the unicorn scenario. Iran means to kill every non-Shia believer to the ocean - both oceans. They want John Limbert dead six times over as well as his family, friends, and dog. Anyone seeing Iran and thinking ''peaceful'' needs to change their drugstore and quit the peyote already.",iran,AGAINST,1
"He seems not to understand or care about the damage done without accountability to the regulations, i.e. he's got the trust, but forgotten the verify. Without verification, regulations don't matter very much. With verification, inspection etc, you have something; without you'll just get cheating regardless of the regulations. What we need is more inspectors and independent verification regimes - funded by the industries involved.",regulation,FAVOR,1
Head Start can evolve into a high quality early childhood education program but the first step involves transferring the administration of the program to the states along with performance standards. The current loosely administered federal model is not working well.,head start,FAVOR,1
"Her operation had ""questionable decisions and practices"", ""full of bumps and detours"" and ""the church has certified, through an exacting and meticulous process, that Mother Teresa, despite her faults and even her sins, lived a life of extraordinary holiness and is worthy of veneration and imitation."" Looks like the criteria for sainthood rest a good deal on propaganda value.",mother teresa,NONE,1
"Here's the deal with home birth as opposed to hospital birth. From this essay, ""Life-threatening emergencies that are not predictable are extremely rare - although they do occur both at home and in the hospital at roughly equal rates."" So when a life-threatening emergency occurs at a hospital, the mother and baby have a pretty good chance of surviving it, or as good as possible anyway. When such occurs at home, the odds are good that the mother and/or baby will die. So home births are less safe. They're usually safe, sure, because these emergencies are rare. But they're less safe than hospitals and always will be.",home birth,AGAINST,1
"Hey i dont want my kids to learn about slavery, or about how Columbus massacred millions of natives or about the Holocaust. Or about Isalm, or about the slaves in Africa makimg everything from Cholocate to Cocoa. All they need to know is Christ died on teh cross fro their sins and that Santa claus will bring presents. Whats wrong with that?",slavery,AGAINST,1
"Higher education is not just a steppingstone to a well-paying job; it is conducive to a more meaningful and fulfilling life, with benefits that go far beyond the economic. A ratings system whose metrics all have dollar signs in front of them is pernicious and should be avoided at all cost.",higher education,AGAINST,1
"Hmmmm.... I didn't use the police's services this year - I should get a tax break! I didn't use the fire department this year - I should get a tax break! I didn't fly anywhere this year - I should get tax breaks, locally for not using our airport, and federally, for not using the air traffic control and navigation systems. Pretty foolish to believe that, not making using of a community resource should exempt us from having to contribute to the community. We are still a community, aren't we?? Well, aren't we?? Kind of makes me wonder.",tax break,AGAINST,1
"How about tax credits for those who don't even have children in the first place? My tax money pays for the education of other people's children since we don't, won't, and didn't have children to begin with! My only, very tiny consolation is that a well educated populace is in everyone's best interests....if only!",child,NONE,1
"How about tax credits for those who don't even have children in the first place? My tax money pays for the education of other people's children since we don't, won't, and didn't have children to begin with! My only, very tiny consolation is that a well educated populace is in everyone's best interests....if only!",tax credit,FAVOR,1
"How to start re regulating? What's the difference between this now, where the govt itself seems to have no power over the banks, despite public opinion, and the banking S&L crisis when hundreds were prosecuted and jailed? Clinton started the deregulation of banks in the 90s. Lobbying and campaign donations have hugely increased, esp since the 2010 court decision. How can the govt untangle itself from the corporate hold on its powers? It's as if the govt is really regulated by the banks and corporations, rather than the govt regulating the banks. And all in the name of 'free speech' and free private enterprise. And in this bad economy with huge unemployment, the banks threaten more joblessness and recession if they are not left to do as they please. Where's the rebuttal in our main media? The majority of the public is anti big bank and want to break them up. The democracy isn't working.",deregulation bank,AGAINST,1
"I agree 100%. I believe everyone, not only babies or children, need a balanced healthy diet. Like the author states, our bodies are designed as omnivores. To go against nature is going against the unchangeable law. We cannot change how we are designed, or what we need to survive healthy. It is the way of life. Nothing artificial is ever an adequate substitution. The 'real deal' is much preferred, and in this case, much healthier.",veganism,AGAINST,1
"I agree it will be a useful tool, to deport them. First identify all the people who have ignored the immigration laws of the US and then quietly deport them so they can be reunited with their families back in their country of origin.",deportation,NONE,1
"I agree it will be a useful tool, to deport them. First identify all the people who have ignored the immigration laws of the US and then quietly deport them so they can be reunited with their families back in their country of origin.",immigrant,FAVOR,1
"I agree with McCluskey. It is unconstitutional intrusion. If Republicans back the idea, they definitely have not gotten the message. The federal government should not be financing education, either directly through grants or indirectly through tax credits. Education is a 100% responsibility and obligation of the states. I do support tax credits by the separate states, however. Home schooled children should get the same state financial backing given to public school attendees, and yes, that would be a threat to public education. So be it. They need the threat.",financing education,AGAINST,1
"I agree with Mr. DeLorenzo, range anxiety is a huge issue with EV's. The current technology does not provide an affordable energy storage system. I am aware that Tesla has an EV capable of 300 miles per charge but the current model starts at $101,500, however they have another model scheduled to debut in 2012 for $49,000 (including a $7,500 tax credit). Which is out of the price range of the majority of the country. I believe EV's are a great alternative to ICE for some people, especially people who live in urban areas. I just cant see them ever being more than a niche market, until an affordable car comes around with a range similar to comparable ICE vehicles. With an infrastructure that will be able to support them, including charging stations and an improved electrical grid",electric car,AGAINST,1
"I agree with the commenter above -- let's have Len Penzo's salary be determined by our tips! Surely newspaper readers are the best arbiters of how much he should be paid based on our perceived satisfaction/lack of distraction/momentary sense of generosity. Why on earth would he want to be paid an agreed-upon amount by his employer instead of gratefully receiving whatever tips or small pieces of bounty we choose to throw his way? And in all serious: does anyone actually tip based on the quality of service, unless it's been truly beyond wretched (i.e. a situation in which we would have complained to the manager anyway)? I can't imagine not tipping 18-20% -- because I owe it to the servers, who I know can't even make minimum wage without it. That's my *standard* tip. The only thing notable about it is that it's a pain to calculate, and it makes me feel uncomfortable with the waitstaff every time because it's an awkward and demeaning situation, no matter how used to it we get or how much we try to ignore it.",len enzo 's salary,AGAINST,1
"I am a 20-year-old female college student who does not own a smart phone and does not wish to own one. I feel as though I am one of the few left of my age (and in general) who have not been sucked into the smartphone (mostly iphone) world. It can be very frustrating for me when my friends are constantly glued to their devices. I often find myself in social situations where everyone in the room are on their phones and I am left sitting, waiting for someone to come back into the real world in order to have a conversation or to decide on something to do other than stare at a screen. In this sense I agree that smartphones/facebook can be potentially damaging to relationships or at least to proper social conduct.",social medium,NONE,1
"I am a dual citizen and not sure it is a good idea but I think nationalism is a bad idea. Maybe we should all be multinational like our Oligarch CEOs? We have a Facebook billionaire who renounced his citizenship to avoid minimal taxes. We now have a failed candidate for the Republican party deciding a Swiss citizenship is better than one. In Ethnic America I belong to a small group that can have more than dual citizenship: how do you all feel about that? I swore an oath out of choice to be an American: I was merely born British. I think any American who chooses to be Swiss has a lot of explaining to do. We British do not think we are the best of the best but Michelle used to say America was the best nation, now she is not so sure?",dual citizenship,NONE,1
"I am against burning books, but being born with the Jester's gene makes me want to poke pomposity in the caboose. Also, when people get upset and afraid of things that can't really hurt them (like riding in an elevator) it is good for them to face their fears and see that nothing terrible happens. So what if one were to burn a Kindle that contained a copy of every religion's special literature? That way, maybe, we could all see that these relics are not where God's love lies; and destroy an insidious device in the bargain.",book,NONE,1
"I am against burning books, but being born with the Jester's gene makes me want to poke pomposity in the caboose. Also, when people get upset and afraid of things that can't really hurt them (like riding in an elevator) it is good for them to face their fears and see that nothing terrible happens. So what if one were to burn a Kindle that contained a copy of every religion's special literature? That way, maybe, we could all see that these relics are not where God's love lies; and destroy an insidious device in the bargain.",burning book,NONE,1
"I am embarrassed for the N Y Times for giving any space to this tired old myth. It is time for the Times to make a stand for the truth. If you cannot do it on the Middle East, if you cannot do it on Fracking and Climate Change, if you can't do it on Bernie Sanders, you can, at least, do it here on marijuanna.",new york time,AGAINST,1
"I believe that felons should have to petition a court for restoration of their complete citizenship rights. Those that can show a reformed lifestyle should have their rights restored. Some will argue that if they have paid their debt to society they should be automatically be restored, but we make sex offenders register and limit their housing choices. Child molesters are forbidden from some occupations. We do limit the rights and freedoms of some felons even after they have served their time. I do not believe anyone convicted of a violent crime should ever be able to own guns.",felon,FAVOR,1
"I can have all sorts of long and short term capital gains within my regular IRA and tax rates on them are bupkis until I either roll over money to a Roth or withdraw from my IRA - which money (including gains) is then taxed like regular income. Conversely, gains in a mature Roth IRA aren't taxed when I eventually draw down from that account. Personally I would protect capital gains, dividends and interest held in retirement accounts from any taxation - and tax those outside IRAs and 401Ks at regular income rates. Interest earned on FDIC protected savings accounts of $250K or under (the account balance, NOT $250K in interest) should also be exempt, and above that fully taxable. This would protect middle class savers should they ever actually see interest beyond pennies in their accounts.",capital gain,FAVOR,1
"I can't agree with this policy. School teams should be represented by the students who attend that school. Part of the school experience is the right to try out for various teams-and not just sports. With home-schooled children, because they're not attending that school, they're really not representing the school body. And there are plenty of quality public schools out there that ARE NOT 'sub-standard, crime infested, corrupt, morally bankrupt, leftist indoctrination camps.""",public school,AGAINST,1
"I can't help but wonder how many of these problems might have been fixed if the Republicans in Congress had made a legitimate effort to help fix them, rather than devoting all of their efforts to throwing up roadblocks and trying to defund it. It's really hard to build something when you have to deal with someone else trying to tear it down at the same time.",republican,NONE,1
"I could live with a flat 15% Federal tax on all income,with few deductions.Maybe add a flat 3% for state and be done with it.How can individuals and corporations plan for the long term,when politicians are constantly changing the tax code?I keep reading that 70% of the economy is consumer spending.We need more incentives for Americans to save and invest and spend less.Maybe more consumption taxes,like Europe,that are hard to evade and lower taxes on investment make sense.",income tax,NONE,1
"I couldn't agree more with Wygant's broader argument. What in the world is happening to us? About six months ago I attended a training course for new employees at the university where I work. I arrived about fifteen minutes early, as did about twenty other people. During the entire fifteen minutes before the instructor arrived and started the class, no one said a thing. They all watched videos, listened to music, or checked email on their smart phones. Real-world encounters and conversations are how members of the opposite sex meet each other and build relationships. But if I see someone engrossed in facebook or instant messaging, no matter how attractive she is, I will simply assume she doesn't want to be bothered. These technologies are very chick and very smart, but what we are in denial about is that they work to inhibit real world communication between human beings rather than promote it. It is a means of shutting out the world. If you have your eyes and ears buried in your smart phone or your ipod, you are not interacting with the what's happening around you; you are interacting with the technology.",social medium,AGAINST,1
"I couldn't agree more, that parents should have a choice. it's america after all. HOWEVER, the school districts then must be allowed to reject the attendance of those unvaccinated students. Let the anti-vaxers start their own private schools that their children can attend, and die from preventable diseases to their hearts content. (and although that is cruel, it is only cruel because that is exactly what will happen to them!)",mandatory vaccination,AGAINST,1
"I couldn't agree more. Real life is not Facebook et al. But what is really funny about David Wygant's comments saying about the same thing si that it is followed by ""Join Room for Debate on Facebook and follow updates on twitter.com/roomfordebate"". - just what you shouldn't be doing if you want to live a real life! And yet, here am I, writing a comment...",real life,NONE,1
"I don't care about most people's dual citizenship, but when someone loses a campaign to be president of the United States, and then immediately files for citizenship in another country, I am curious. What the heck is Michelle thinking? Imagine if this was not a white woman claiming citizenship in a northern European country, but a black man affirming citizenship in an African country--the howls would be heard all the way to Africa! Michelle Bachmann is not a loyal American. Switzerland is welcome to her, and I hope she keeps her poisonous politics out of our faces. I question whether a dual citizen should be a member of Congress. And yes, i am aware of the dual Israeli-American citizenship issue.",dual citizenship,NONE,1
"I don't think it matters who is doing the work but rather, who is managing the workers and overall spending. We've seen that when things are done in-house (take the MTA, most city-run agencies) they can be an abyssmal failure). But we've also seen the same when it comes to HR and IT functions being outsourced to India, and customers are left haivng to deal with people with huge cultural differences ('yes sir...how are you sir....thank you for asking sir I am well...I can certainly help you with that sir...thank you for providing that informatino sir blah blah), and who have no ability to think but rather are solely reading lines from a manual. What matters most is the intentions of those at the very top. If management truly cares, then the job will be done well no matter what type of workers they hire. And if they don't find the right workers, then they'll keep firing the staff until they do, increasing salaries, or whatever else it takes.",outsource,NONE,1
"I don't think the broken windows theory itself is bad, I think there is a lot of validity to it.Having lived in marginal areas, things like graffiti, kids hanging out where they shouldn't, attractive nuisances, make a big difference in how a neighborhood functions. That said, what is old is new. Ask any long time New Yorker, and they will tell you about the beat cop, who knew what was going on, and knew who were the troublemakers, and knew how to deal with them appropriately. While it is a different era now, someone with a quality of life crime (like selling illegal cigarettes) can be dealt with by basically telling them to get lost and not show his face on 'his' street again. There are ways of using the force and power of the law without arresting people. If the person doesn't get the hint, or otherwise acts out, you always have the arrest as a backup, but most low level people will avoid the confrontation.",broken window theory,FAVOR,1
"I don't think we are covering any new ground here, the Republican's plan to balance the budget is likely to consist of a lot of flag waving, wrapping themselves in the Constitution and perhaps a new Pledge and little else. It could be worse, they may want to do something really dumb like cut taxes even more or try to start another war. First of all they don't have the votes and under 8 years of Bush the problems just got worse.",republican,NONE,1
"I encounter deaf people from time to time in my work. I mistakenly believed that in this day of texting and email, that communicating with them would not be a problem. What I didn't realize is that when ASL is your first language, English is a foreign language. As such, the deaf people I have encountered were not well able to communicate in writing. I'm not saying they couldn't write a 10 page memo; they couldn't answer simple questions in an email. It is inexcusable that non-hearing children are denied sufficient education to be competent in English. In my admittedly limited experience, kids who grow up with cochlear implants and cued speech are more capable of communicating in English. For that alone it is worth it. ASL was quite an advancement at its inception, but it is fast outliving its usefulness and becoming a burden rather than the liberator it was intended to be.",asl,AGAINST,1
"I encounter deaf people from time to time in my work. I mistakenly believed that in this day of texting and email, that communicating with them would not be a problem. What I didn't realize is that when ASL is your first language, English is a foreign language. As such, the deaf people I have encountered were not well able to communicate in writing. I'm not saying they couldn't write a 10 page memo; they couldn't answer simple questions in an email. It is inexcusable that non-hearing children are denied sufficient education to be competent in English. In my admittedly limited experience, kids who grow up with cochlear implants and cued speech are more capable of communicating in English. For that alone it is worth it. ASL was quite an advancement at its inception, but it is fast outliving its usefulness and becoming a burden rather than the liberator it was intended to be.",deaf people,NONE,1
"I find this answer scaring to the utmost extent. I am a 33 year old mother, and had two absolutely perfectly normal pregnancies. I am very healthy. I delivered my two girls with the least interventions (no drugs or other interventions). Every single thing the doctors did, I was asked first... Except... my second daughter was entangled in her cord. The doctor immediately helped her out with vacuum. Today, she has no lesions or side effects. I wonder and do not want to consider what would have happened in a home birth. Overall, I found the providers extremely amenable and willing to do anything to accommodate for me (the mother)... except, when my baby's life was at stake, and they did what they could do provide a safe birth. Exactly what I wanted.",pregnancy,NONE,1
"I grew up in Malibu and my family still lives there. I have no problem with public access to beaches, what I do have a problem with is public access with no public facilities - ie. restrooms and trashcans. I can't count the number of times my family picked up litter on the beach in front of our home or emptied the overflowing, un-maintained public trash cans at the access. The public has a right to the beach, but I'd like to think I have a right not to step off my front steps into another persons excrement. Disgusting.",malibu,AGAINST,1
"I have both an EU nation passport (recently acquired) and a US passport. Note that the EU nation was very happy to give me a passport and citizenship card at their NYC consular offices once the proper paperwork was done. Let me guess; everyone against dual citizenship is afraid of a) commies b) educated folks leaving the US c) educated folks STAYING in the US. You know, the old USSR had the same additude: ""We're the best place in the world, and to prove it, we're going to force you to stay here."" No thanks. Given that I will probably have no pension and no Social Security in the US, I very much like having the option of retiring to an assisted-living intentional community somewhere more enlightened.",citizenship,FAVOR,1
